id,user_name,category_url,category_name,pages_loaded,load_time,load_date,load_time_start,load_time_end,items_count,max_bonus_percent
175,user1,https://megamarket.ru/catalog/otrazhatel/,Отражатели и рефлекторы,22,30.0,2024-08-07 05:40:34,2024-08-07 05:40:04,2024-08-07 05:40:34,960,35.0
176,user1,https://megamarket.ru/catalog/monopody-dlya-fotoapparatov/,Моноподы для фотоаппаратов,5,8.0,2024-08-07 05:40:44,2024-08-07 05:40:35,2024-08-07 05:40:44,197,19.0
177,user1,https://megamarket.ru/catalog/shtativy/,Штативы для фотоаппаратов,39,84.0,2024-08-07 05:42:10,2024-08-07 05:40:45,2024-08-07 05:42:10,1697,35.0
178,user1,https://megamarket.ru/catalog/stabilizatory-dlya-fotoapparatov/,Стабилизаторы для фотоаппаратов,11,17.0,2024-08-07 05:42:28,2024-08-07 05:42:11,2024-08-07 05:42:28,451,35.0
179,user1,https://megamarket.ru/catalog/sumki-i-ryukzaki-dlya-fototehniki/,Сумки и рюкзаки для фототехники,32,53.0,2024-08-07 05:43:23,2024-08-07 05:42:29,2024-08-07 05:43:23,1379,40.0
180,user1,https://megamarket.ru/catalog/radioupravlyaemye-ustrojstva/,Радиоуправляемые модели,40,69.0,2024-08-07 05:44:33,2024-08-07 05:43:24,2024-08-07 05:44:33,1730,55.0
181,user1,https://megamarket.ru/catalog/cifrovye-fotoramki/,Цифровые фоторамки,6,11.0,2024-08-07 05:44:46,2024-08-07 05:44:35,2024-08-07 05:44:46,239,11.0
182,user1,https://megamarket.ru/catalog/tovary-dlya-kureniya-i-elektronnye-sigarety/,Товары для курения и электронные сигареты,7,10.0,2024-08-07 05:44:57,2024-08-07 05:44:47,2024-08-07 05:44:57,237,25.0
183,user1,https://megamarket.ru/catalog/aksessuary-dlya-playstation/,Аксессуары для PS,22,37.0,2024-08-07 05:45:36,2024-08-07 05:44:59,2024-08-07 05:45:36,939,35.0
184,user1,https://megamarket.ru/catalog/podveski-i-kulony-serebryanye/,Серебряные подвески,76,148.0,2024-08-07 05:48:05,2024-08-07 05:45:37,2024-08-07 05:48:05,4107,30.0
185,user1,https://megamarket.ru/catalog/igrushki-i-tonneli-dlya-koshek/,Игрушки и тоннели для кошек,281,462.0,2024-08-07 05:55:48,2024-08-07 05:48:06,2024-08-07 05:55:48,12349,59.0
